번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
2546,개방화장실,법제3조제4호,경창시장 고객지원센터,서울특별시 양천구 오목로9길 31,서울특별시 양천구 신월2동 447-8,1,1,0,0,0,0,2,0,0,양천구 청소행정과,02-2620-3426,정시,평일(09:30~18:00),,37.5249471,126.8421229,민간소유-법인,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,없음,,2024-05-20
2547,개방화장실,법제3조제4호,신영시장 고객지원센터,서울특별시 양천구 월정로 161-5,서울특별시 양천구 신월1동 114-18,0,3,1,0,0,0,2,1,0,양천구 청소행정과,02-2620-3426,정시,09:00~18:50,,37.5330247,126.8360262,민간소유-법인,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,없음,,2024-05-20
2548,개방화장실,법제3조제4호,목동깨비시장 고객지원센터,서울특별시 양천구 목동중앙북로6길 5,,1,2,1,0,0,0,2,1,0,일자리경제과,02-2620-4826,정시,09~19시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-05-20
2549,개방화장실,법제3조제16호-영제3조제1항제1호,양천창업지원센터,서울특별시 양천구 신정로7길 75,,1,1,0,0,0,0,2,0,0,미담장학회(일자리경제과),02-2604-1471,정시,10~22시,,,,공공기관-지방자치단체,수세식,Y,N,없음,Y,Y,남자화장실,,2024-05-20
2550,개방화장실,법제3조제16호-영제3조제1항제1호,서울청년센터 양천,서울특별시 양천구 오목로 359,,1,2,1,0,0,0,2,1,0,서울지역사회교육협의회(일자리경제과),02-2062-8826,정시,10~22시,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-20
2551,공중화장실,법제3조제5호,온수도시자연공원 (매봉약수터),서울특별시 양천구 신정로 152,,1,1,0,0,0,0,1,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-20
2552,공중화장실,법제3조제5호,온수도시자연공원 (지양산유아숲체험원),서울특별시 양천구 지양로7길 28-29,,1,1,0,0,0,0,1,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-20
2553,개방화장실,법제3조제17호-영제3조제2항제3호,동호프라자 개방화장실 (민간개방지정),"서울특별시 용산구 이태원로 145 (이태원동, 동호프라자.외환은행)",,2,2,0,0,0,0,3,1,0,동호프라자 관리실,02-796-2800,상시,,,,,민간소유-개인,수세식,Y,Y,남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-24
2554,개방화장실,법제3조제17호-영제3조제2항제3호,맥도날드(이태원점) 개방화장실 (민간개방지정),서울특별시 용산구 이태원로 142-1 (이태원동),,1,2,0,0,0,0,2,0,0,맥도날드 이태원점,070-7017-0305,상시,,,,,민간소유-개인,수세식,Y,N,없음,Y,N,없음,,2024-05-24
2555,개방화장실,법제3조제17호-영제3조제2항제3호,이촌종합시장 개방화장실 (민간개방지정),서울특별시 용산구 이촌로77길 19,,3,3,0,0,0,0,4,0,0,이촌상가상인회,02-794-1555,상시,,,,,민간소유-법인,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-24
2556,공중화장실,법제3조제17호-영제3조제2항제3호,신동아쇼핑 화장실,"서울특별시 용산구 이촌로 352 (용산동6가, 신동아쇼핑)",,5,3,0,0,0,0,6,0,0,신동아건설(주),02-748-8809,정시,06:00~22:00,,,,민간소유-개인,수세식,N,N,없음,N,Y,여자화장실,,2024-05-24
2557,공중화장실,법제3조제17호-영제3조제2항제1호,금강아산병원,"서울특별시 용산구 이촌로 318 (이촌동, 금강아산병원)",,2,2,0,0,0,0,2,1,0,금강아산병원,02-799-5000,정시,09:00-18:00,,,,민간소유-개인,수세식,N,Y,남자화장실+여자화장실,N,N,없음,,2024-05-24
2558,개방화장실,법제3조제17호-영제3조제2항제3호,해방촌 신흥시장 (민간개방지정),"서울특별시 용산구 소월로20길 38-1 (용산동2가, 호남정육점)",,3,3,0,0,0,0,4,1,0,신흥시장 상인회,070-8692-1602,정시,07:00-20:00,,,,민간소유-법인,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-24
2559,공중화장실,법제3조제17호-영제3조제2항제1호,순천향병원,"서울특별시 용산구 대사관로 59 (한남동, 순천향대학병원)",,2,3,0,0,0,0,4,0,0,순천향병원,02-709-9114,정시,09:00-18:00,,,,민간소유-개인,수세식,N,N,없음,Y,N,없음,,2024-05-24
2560,개방화장실,법제3조제16호-영제3조제1항제1호,용산소방서 본서화장실,서울특별시 용산구 한강대로 167,,2,2,0,0,0,0,1,0,0,용산소방서,02-797-0730,정시,07:00~22:00,,,,공공기관-지방자치단체,수세식,N,N,없음,N,N,없음,,2024-05-24
2561,개방화장실,법제3조제16호-영제3조제1항제1호,용산주차빌딩,서울특별시 용산구 새창로49길42,,2,3,0,0,0,0,4,0,0,서울시설공단 주차시설운영처,02-2290-7184,상시,,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-24
2562,개방화장실,법제3조제16호-영제3조제1항제1호,용산구문화체육센터 로비화장실,서울특별시 용산구 백범로350 용산구문화체육센터,,2,2,0,0,0,0,3,0,0,문화체육센터,02-707-2492,정시,09:00-18:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,Y,Y,여자화장실,,2024-05-24
2563,개방화장실,법제3조제16호-영제3조제1항제1호,용산문화원,서울특별시 용산구 효창원로8길 28 (원효로4가),,1,2,0,0,0,0,2,0,0,용산구청 문화체육과,21997240,정시,09:00-18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-24
2564,개방화장실,법제3조제16호-영제3조제1항제1호,용산구시설관리공단본부,서울특별시 용산구 효창원로69가길 2 (효창동),,2,2,0,0,0,0,2,0,0,용산구시설관리공단,02-749-5314,정시,09:00~18:00,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,N,없음,N,N,없음,,2024-05-24
2565,개방화장실,법제3조제16호-영제3조제1항제5호,효창종합사회복지관,"서울특별시 용산구 효창원로 146-12 (효창동, 효창종합사회복지관,효창제2경로당)",,9,9,0,0,0,0,9,0,0,효창종합사회복지관,02-716-0600,정시,06:00~23:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-05-24
2566,개방화장실,법제3조제16호-영제3조제1항제1호,용산푸드뱅크마켓,"서울특별시 용산구 한강대로 345 (갈월동, 용산구 푸드마켓 (구 갈월파출소))",,0,0,0,0,0,0,0,0,0,용산구청 복지정책과,02-703-0129,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-24
2567,개방화장실,법제3조제16호-영제3조제1항제1호,용산구자원봉사센터,"서울특별시 용산구 청파로49길 34 (청파동2가, 청파어린이영어도서관)",,1,1,0,0,0,0,2,0,0,용산구청 복지정책과,02-718-1365,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-24
2568,개방화장실,법제3조제16호-영제3조제1항제1호,용산공예관,"서울특별시 용산구 이태원로 274 (한남동, 용산전통공예문화체험관)",,8,8,0,0,0,0,11,0,0,용산구청 일자리경제과,02-2199-6822,정시,10:00~19:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-24
2569,개방화장실,법제3조제16호-영제3조제1항제1호,한남동 공영주차장,"서울특별시 용산구 이태원로 224-19 (한남동, 한남동공영주차장)",,1,2,0,0,0,0,4,0,0,한남동 공영주차장,02-749-3633,정시,09:00-18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,Y,N,없음,,2024-05-24
2570,개방화장실,법제3조제16호-영제3조제1항제1호,동빙고 빗물펌프장 화장실,서울특별시 용산구 서빙고로 299 (동빙고동),,0,0,0,0,0,0,0,0,0,서빙고 펌프장,02-2199-8680,정시,09:00-18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-24
2571,개방화장실,법제3조제16호-영제3조제1항제1호,갈월종합사회복지관,서울특별시 용산구 두텁바위로 25 (갈월동),,16,21,0,0,0,0,16,0,0,갈월종합사회복지관,02-752-7887,정시,06:00~23:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,Y,N,없음,,2024-05-24
2572,개방화장실,법제3조제16호-영제3조제1항제1호,한남제천회관,서울특별시 용산구 대사관로34길 49 (한남동),,1,2,0,0,0,0,2,0,0,한남제천회관,02-1544-1591,정시,09:00-22:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-24
2573,개방화장실,법제3조제16호-영제3조제1항제1호,용산구의회,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운)",,2,2,0,0,0,0,3,0,0,용산구의회 사무국,02-2199-8780,정시,09:00-22:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,Y,Y,여자화장실,,2024-05-24
2574,개방화장실,법제3조제16호-영제3조제1항제1호,용산구 보건소,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운)",,1,2,0,0,0,0,3,0,0,용산구청 행정지원과,02-2199-6310,정시,09:00-22:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,N,N,없음,,2024-05-24
2575,공중화장실,법제3조제16호-영제3조제1항제1호,용산가족공원 야외광장 화장실,서울특별시 용산구 용산동6가 68-89,,2,4,0,0,0,0,6,0,0,중부공원여가센터,02-792-5661,상시,,,,,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,N,N,없음,,2024-05-24
2576,공중화장실,법제3조제16호-영제3조제1항제1호,용산가족공원 주차장 화장실,서울특별시 용산구 용산동6가 93-8,,2,4,0,0,0,0,8,0,0,중부공원여가센터,02-792-5661,상시,,,,,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-05-24
2577,공중화장실,법제3조제16호-영제3조제1항제1호,야외식물원화장실,서울특별시 용산구 소월로 323,,2,4,0,0,0,0,6,0,0,중부공원여가센터,02-798-3771,상시,,,,,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-05-24
2578,공중화장실,법제3조제16호-영제3조제1항제1호,주차장 화장실,서울특별시 용산구 후암동 30-84,,3,3,0,0,0,0,5,0,0,중부공원여가센터,02-318-5284,상시,,,,,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-24
2579,공중화장실,법제3조제16호-영제3조제1항제1호,남측순환로 출구 화장실,서울특별시 용산구 후암동 산1-2,,2,2,0,0,0,0,3,0,0,중부공원여가센터,02-318-5284,상시,,,,,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-24
2580,공중화장실,법제3조제16호-영제3조제1항제1호,수복천 입구,서울특별시 용산구 이태원동 산1-138,,3,3,0,0,0,0,6,0,0,중부공원여가센터,02-753-5500,상시,,,,,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-05-24
2581,개방화장실,법제3조제7호,남영역,"서울특별시 용산구 한강대로77길 25 (갈월동, 남영역)",,2,3,0,0,0,0,5,0,0,한국철도공사(코레일),02-3149-5435,정시,05:00~00:00,,,,공공기관-국가공공기관,수세식,N,N,없음,Y,N,없음,,2024-05-24
2582,개방화장실,법제3조제7호,용산역,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산민자역사)",,7,11,0,0,0,0,21,0,0,한국철도공사(코레일),02-792-7789,정시,05:00~00:00,,,,공공기관-국가공공기관,수세식,N,Y,남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-24
2583,개방화장실,법제3조제17호-영제3조제2항제3호,에이치케이웨딩홀,서울특별시 학동로 519 (청담동),,11,0,0,0,0,0,0,0,0,개인,,정시,10:00~18:00,,37.5201877427,127.0554556476,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,여자화장실+장애인화장실,Y,N,없음,,2022-11-28
2584,개방화장실,법제3조제17호-영제3조제2항제1호,디와이홀딩스,서울특별시 노원구 동일로1419,,2,2,0,0,0,0,2,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,Y,여자화장실,,2024-05-27
2585,개방화장실,법제3조제17호-영제3조제2항제1호,상계역전종합상가B,서울특별시 노원구 한글비석로396,,3,3,2,1,0,0,3,2,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,없음,,2024-05-27
2586,개방화장실,법제3조제17호-영제3조제2항제1호,상계역전종합상가A,서울특별시 노원구 한글비석로396,,3,3,2,1,0,0,3,2,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,없음,,2024-05-27
2587,개방화장실,법제3조제17호-영제3조제2항제1호,그린코아빌딩,서울특별시 노원구 한글비석로 250,,3,2,0,0,0,0,3,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
2588,개방화장실,법제3조제17호-영제3조제2항제1호,삼부프라자,서울특별시 노원구 한글비석로 242,,2,3,1,2,0,0,2,1,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
2589,개방화장실,법제3조제17호-영제3조제2항제1호,그랜드프라자빌딩,서울특별시 노원구 한글비석로 264,,1,2,0,0,0,0,1,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
2590,개방화장실,법제3조제17호-영제3조제2항제1호,대명프라자빌딩,서울특별시 노원구 한글비석로 254,,2,3,0,0,0,0,2,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2024-05-27
2591,개방화장실,법제3조제17호-영제3조제2항제1호,브라운스톤오피스텔 상가,서울특별시 노원구 동일로 203가길29,,6,8,0,0,0,0,7,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-27
2592,개방화장실,법제3조제17호-영제3조제2항제1호,대웅빌딩,서울특별시 노원구 한글비석로 273,,2,2,0,0,0,0,2,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
2593,개방화장실,법제3조제17호-영제3조제2항제1호,북부농협월계지점,서울특별시 노원구 광운로 48,,1,2,0,0,0,0,2,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
2594,개방화장실,법제3조제17호-영제3조제2항제1호,하니빌딩,서울특별시 노원구 동일로 1101,,2,5,0,0,0,0,2,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
2595,공중화장실,법제3조제16호-영제3조제1항제1호,은혜슈퍼 앞,,서울특별시 노원구 상계동 산 152-1,1,1,0,0,0,0,1,0,0,노원구청 자원순환과,02-2116-3815,상시,,,,,공공기관-지방자치단체,수거식,Y,Y,여자화장실,N,N,없음,,2024-05-27
2596,공중화장실,법제3조제16호-영제3조제1항제1호,방범초소 옆,,서울특별시 노원구 상계동 산 154-5,1,1,0,0,0,0,1,0,0,노원구청 자원순환과,02-2116-3815,상시,,,,,공공기관-지방자치단체,수거식,Y,Y,여자화장실,N,N,없음,,2024-05-27
2597,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 종합스타디움(동아리관),서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,3,4,1,1,0,0,6,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2015-02,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2598,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 테크노큐브,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,41,40,1,1,0,0,80,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2017-12,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2599,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 미래관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,40,40,1,1,0,0,40,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2006-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2600,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 학군단,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,9,11,1,1,0,0,4,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,1991-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2601,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 무궁관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,30,32,1,1,0,0,71,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2014-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2602,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 대륙관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,2,4,0,0,0,0,2,0,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,1942-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2603,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 체육관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,4,5,1,1,0,0,9,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,1991-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2604,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 아름관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,14,28,1,1,0,0,22,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2001-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2605,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 상상관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,40,48,8,8,0,0,88,8,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2020-12,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2606,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 제2학생회관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,6,13,1,1,0,0,13,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2001-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2607,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 100주년기념관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,19,23,1,1,0,0,40,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2009-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2608,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 어의관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,28,43,1,12,0,0,27,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,1969-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2609,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 다빈치관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,26,28,1,1,0,0,58,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2012-12,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2610,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 국제관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,22,24,1,1,0,0,31,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,2007-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2611,개방화장실,법제3조제16호-영제3조제1항제4호,서울과학기술대학교 제1학생회관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,13,13,1,1,0,0,23,1,0,서울과학기술대학교,02-970-6114,정시,06:00~23:00,1986-04,37.6316684,127.0774813,공공기관-국가공공기관,수세식,N,N,없음,N,N,없음,,2024-05-27
2612,공중화장실,법제3조제5호,용왕산근린공원(A),"서울특별시 양천구 용왕정길 43, 관리사무소 옆",,2,3,1,0,0,0,5,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-20
2613,공중화장실,법제3조제5호,용왕산근린공원(B),"서울특별시 양천구 용왕정길 19, 건영아파트 뒤",,2,3,0,0,0,0,3,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,Y,여자화장실,,2024-05-20
2614,공중화장실,법제3조제5호,용왕산근린공원(C),"서울특별시 양천구 용왕정길 39, 실내배드민턴장 옆",,1,2,0,0,0,0,2,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-20
2615,공중화장실,법제3조제5호,용왕산근린공원(D),"서울특별시 양천구 용왕정길 32, 게이트볼장 옆",,1,1,0,0,0,0,1,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-20
2616,공중화장실,법제3조제5호,용왕산근린공원(E),"서울특별시 목동중앙로9길 40, 용왕산 유아숲체험원",,1,1,0,0,0,0,1,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-20
2617,공중화장실,법제3조제5호,계남근린공원(A),"서울특별시 양천구 신정로13가길 36, 야외무대 옆",,2,3,1,0,0,0,5,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-20
2618,공중화장실,법제3조제5호,계남근린공원(B),"서울특별시 양천구 중앙로 153, 11단지 옆",,3,4,1,0,0,0,7,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-20
2619,공중화장실,법제3조제5호,계남근린공원(D),"서울특별시 양천구 중앙로25길 31, 다락골 놀이터 옆",,1,1,1,0,0,0,2,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-05-20
2620,공중화장실,법제3조제5호,갈산근린공원(A),"서울특별시 양천구 목동남로 106-23, 교통광장",,1,1,0,0,0,0,1,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-20
2621,공중화장실,법제3조제5호,갈산근린공원(B),"서울특별시 양천구 신정7동 171-58, 분수광장","서울특별시 양천구 신정7동 171-58, 분수광장",1,2,0,0,0,0,2,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-20
2622,공중화장실,법제3조제5호,갈산근린공원(C),"서울특별시 양천구 신정동 162-56, 향림사 뒤","서울특별시 양천구 신정동 162-56, 향림사 뒤",1,2,1,0,0,0,3,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-20
2623,공중화장실,법제3조제5호,목마근린공원,서울특별시 양천구 목동동로 441,,1,2,1,0,0,0,1,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,여자화장실,,2024-05-20
2624,공중화장실,법제3조제5호,파리근린공원,서울특별시 양천구 목동동로 363,,2,4,1,0,0,0,7,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,N,없음,,2024-05-20
2625,공중화장실,법제3조제5호,오목근린공원,서울특별시 양천구 목동서로 159-2,,1,2,1,0,0,0,2,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-05-20
2626,공중화장실,법제3조제5호,양천근린공원,서울특별시 양천구 목동동로 117,,4,6,1,0,0,0,8,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-05-20
2627,공중화장실,법제3조제5호,양천근린공원 키지트,서울특별시 양천구 목동동로 111,서울특별시 양천구 신정6동 320,1,1,0,0,0,0,0,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,정시,10시~19시(월요일 휴관),,,,공공기관-지방자치단체,수세식,Y,N,없음,Y,Y,남자화장실+여자화장실,,2024-05-20
2628,공중화장실,법제3조제5호,신트리근린공원,서울특별시 양천구 목동동로 3,,3,4,1,0,0,0,7,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-05-20
2629,공중화장실,법제3조제5호,신월근린공원,서울특별시 양천구 신월로 99-1,,3,3,1,0,0,0,6,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,Y,N,없음,,2024-05-20
